"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @pinkocean_JH: 💕주말 동안 시즌그리팅 포장 작업이 끝나 순차적으로 배송될 예정입니다😍
파본 발생시 교환 안내 및 운송장 포워딩은 업체에서 송장 리스트가 오는대로 메일로 보내드릴게요!
택배사 파업으로 배송이 더딜 수 있는 점 양해 부…",FALSE,0,NA,2018-11-25 23:59:49,FALSE,NA,"1066843934695972864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jinhoppang",40,TRUE,FALSE,NA,NA
"2","RT @pinkocean_JH: 💕주말 동안 시즌그리팅 포장 작업이 끝나 순차적으로 배송될 예정입니다😍
파본 발생시 교환 안내 및 운송장 포워딩은 업체에서 송장 리스트가 오는대로 메일로 보내드릴게요!
택배사 파업으로 배송이 더딜 수 있는 점 양해 부…",FALSE,0,NA,2018-11-25 23:57:21,FALSE,NA,"1066843313758588928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_o910101",40,TRUE,FALSE,NA,NA
"3","💕주말 동안 시즌그리팅 포장 작업이 끝나 순차적으로 배송될 예정입니다😍
파본 발생시 교환 안내 및 운송장 포워딩은 업체에서 송장 리스트가 오는대로 메일로 보내드릴게요!
택배사 파업으로 배송이 더딜 수 있는… https://t.co/QrtcnVOF0g",FALSE,158,NA,2018-11-25 23:57:02,TRUE,NA,"1066843234394025985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pinkocean_JH",40,FALSE,FALSE,NA,NA
"4","RT @NewtS__: 머글에게 산타는 '대한통운' 이라고 통칭되는군요! https://t.co/qLugnjzkoj",FALSE,0,NA,2018-11-25 23:51:55,FALSE,NA,"1066841946352537600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","potter_Hat",12,TRUE,FALSE,NA,NA
"5","CJ대한통운이 파업에 들어간 가운데, 사측이 대체인력을 투입하며 곳곳에서 충돌이 벌어지고 있습니다. 

#택배 #CJ대한통운
https://t.co/TmSHeQbLm5",FALSE,1,NA,2018-11-25 23:48:14,FALSE,NA,"1066841018295709697",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mbnlive",12,FALSE,FALSE,NA,NA
"6","대한통운 너무해 파업. 일주일째 안오고;;; 과제해야한다고 싯파",FALSE,0,NA,2018-11-25 22:57:20,FALSE,NA,"1066828210514550784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","01_suhoyum",0,FALSE,FALSE,NA,NA
"7","CJ대한통운 대전물류센터 작업중지 해제... 25일부터 재가동 https://t.co/TQ4Y9wNi62",FALSE,2,NA,2018-11-25 22:21:12,FALSE,NA,"1066819114428067841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hiool",0,FALSE,FALSE,NA,NA
"8","cj 대한통운 일부지역 파업 아직 진행중인가보네",FALSE,0,NA,2018-11-25 22:10:06,FALSE,NA,"1066816320707059712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gloominglamb",0,FALSE,FALSE,NA,NA
"9","@yeoneogoon 인용하기는 귀찮고, CJ대한통운 옥천HUB를 통해서 반송",FALSE,0,"yeoneogoon",2018-11-25 21:23:50,FALSE,"1066705669540081664","1066804681379241985","3043831104","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","srt133151",0,FALSE,FALSE,NA,NA
"10","RT @NewtS__: 머글에게 산타는 '대한통운' 이라고 통칭되는군요! https://t.co/qLugnjzkoj",FALSE,0,NA,2018-11-25 21:04:51,FALSE,NA,"1066799901617606666",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","citromkeks",12,TRUE,FALSE,NA,NA
"11","RT @NewtS__: 머글에게 산타는 '대한통운' 이라고 통칭되는군요! https://t.co/qLugnjzkoj",FALSE,0,NA,2018-11-25 21:00:19,FALSE,NA,"1066798760557199360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letztes_dernier",12,TRUE,FALSE,NA,NA
"12","대한통운 택배차에 저거 붙여져 있던데 공짜노동 뭐뭐 적혀있고 파업 적혀있어서 속으로 ㅎㅎ사장이 개새기네 했었는데..",FALSE,0,NA,2018-11-25 18:22:21,FALSE,NA,"1066759006448828416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","touot____",0,FALSE,FALSE,NA,NA
"13","RT @__2iya: 대한통운 파업하는ㄴ것 때문에 불편하셔도 앞뒤 사정 모르고 욕하시면.......,., ㅜㅜ https://t.co/AQDAaKrSKS",FALSE,0,NA,2018-11-25 18:20:08,FALSE,NA,"1066758450745499648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","touot____",4674,TRUE,FALSE,NA,NA
"14","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 17:54:04,FALSE,NA,"1066751890925355010",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","oldbromptonrd",4068,TRUE,FALSE,NA,NA
"15","RT @speconomy: cj대한통운, 대전터미널 안전·작업환경 개선 … 25일부터 재가동 https://t.co/1lqxLf1e5i",FALSE,0,NA,2018-11-25 17:48:52,FALSE,NA,"1066750583120396288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","o_w_free",2,TRUE,FALSE,NA,NA
"16","RT @speconomy: cj대한통운, 대전터미널 안전·작업환경 개선 … 25일부터 재가동 https://t.co/1lqxLf1e5i",FALSE,0,NA,2018-11-25 17:48:34,FALSE,NA,"1066750507102875650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macaryano",2,TRUE,FALSE,NA,NA
